,Unnamed: 0,text,embeddings,distances
39,39,29 January – A robotic sensor able to read braille with 87.5% accuracy and at twice the speed of a human is demonstrated.,"[-0.0108636   0.01368601 -0.02292539 ... -0.01778648 -0.00628052
 -0.01738708]",0.24585763489182666
151,151,"12 June – Hazard research is published: a study finds toxic metals including lead and arsenic in tampons (22 June), and a study indicates ocean water intrusion causing Antarctic ice-sheet grounding zones melting is a further tipping point in the climate system (25 June).","[-0.01117532 -0.01135088 -0.01266761 ...  0.01172226 -0.00355179
 -0.02437637]",0.2459089843960135
27,27,"18 January – NASA reports the end of the Ingenuity helicopter's operation, after 72 successful flights on Mars, due to a broken rotor blade.","[-0.00802159 -0.01090627 -0.01539784 ...  0.01743712  0.01835351
 -0.01216468]",0.24605940419311556
214,214,17 October – Scientists build the world's smallest quantum computer using a single photon.,"[ 0.00330414  0.01927088  0.00599824 ...  0.00530576  0.02226505
 -0.03405709]",0.24614631815694787
95,95,5 April – A numerical toolkit designed for modelling warp drive spacetimes is introduced in Classical and Quantum Gravity.,"[-1.03464210e-02  5.92692336e-03 -8.39361921e-03 ...  1.24636684e-02
 -2.85854130e-05 -3.57122831e-02]",0.24622992931808385
75,75,"6 March – The first creation of induced pluripotent stem cells for the Asian elephant is reported by Colossal Biosciences, a key step towards de-extinction of the woolly mammoth.","[-0.03684644 -0.0061912  -0.00237318 ...  0.0168934   0.00923776
 -0.01027726]",0.24624339865881217
243,243,"27 December – Carbon in outer space is shown to travel on a circumgalactic medium, resembling a series of giant conveyor belts, which can extend beyond our galaxy and up to 400,000 light-years in length.","[ 0.01390817 -0.00329473 -0.01253428 ...  0.01399933 -0.02006788
 -0.02724335]",0.24652458009253697
70,70,"28 February – Promising innovations relating to global challenges are reported: LAION releases a first version of BUD-E, a fully open source voice assistant (8 Feb), Minesto's Dragon 12 underwater tidal kite turbines are demonstrated successfully, connected to the Faroe Island's power grid (11 Feb), rice grains as scaffolds containing cultured animal cells are demonstrated (14 Feb), an automatic waste sorting system (ZenRobotics 4.0) that can distinguish between over 500 waste categories is released (15 Feb), researchers describe an AI ecosystem interface of foundation models connected to many APIs as specialized subtask-solvers (16 Feb), precision fermentation-derived beta-lactoglobulin is released as a substitute for whey protein amid growth of a nascent animal-free dairy industry (19 Feb), researchers describe an approach for an optical disk with petabit capacity (21 Feb).","[-0.01356788 -0.02185975 -0.01327556 ... -0.01020264 -0.00847012
 -0.0153004 ]",0.24667688698018064
87,87,27 March – Promising innovations relating to global challenges are reported: researchers demonstrate simultaneous radiative cooling and solar power generation from the same area (13 Mar).,"[-0.01072977 -0.00871793  0.01393818 ...  0.00460551 -0.00998026
 -0.0338987 ]",0.24669146438532197
51,51,"7 February – Reported science studies suggest that cosmic dust particles may have spread, in a process termed panspermia, life to Earth and elsewhere in the Universe.","[ 0.01781495  0.00410341 -0.00869338 ...  0.0043175   0.00502789
 -0.02223949]",0.2470362321394487
